idDevis;idProjet;element;coutMurs;coutSol;coutPlafond;total
D_M01;M01;Facade;252.0;0.0;0.0;22680.0
D_M01;M01;Isolation;252.0;0.0;0.0;10080.0
D_IM01;IM01;Facade;1350.0;0.0;0.0;121500.0
D_IM01;IM01;Isolation;1350.0;0.0;0.0;54000.0
D_M01;M01;Entrée;426.38;447.75;98.55;972.68
D_M01;M01;Cuisine;448.87;522.38;114.97;1086.22
D_M01;M01;Salon;658.88;1044.75;229.95;1933.58
D_M01;M01;Salle à manger;772.5;1293.5;284.7;2350.7
D_M01;M01;Salle d'eau;486.37;597.0;131.4;1214.77
D_M01;M01;Cellier;562.5;696.5;153.3;1412.3
D_M01;M01;Escalier;637.5;870.62;191.62;1699.74
D_M01;M01;Chambre 1;748.88;1368.12;301.12;2418.12
D_M01;M01;Chambre 2;748.88;1368.12;301.12;2418.12
D_M01;M01;Salle de bain;598.88;820.88;180.67;1600.43
D_M01;M01;Bureau;636.38;957.69;210.79;1804.86
D_M01;M01;Palier;675.0;957.69;210.79;1843.48
D_IM01;IM01;Escalier;262.5;149.25;32.85;444.6
D_IM01;IM01;Escalier;262.5;149.25;32.85;444.6
D_IM01;IM01;Escalier;262.5;149.25;32.85;444.6
D_IM01;IM01;Escalier;262.5;149.25;32.85;444.6
D_IM01;IM01;Escalier;262.5;149.25;32.85;444.6
D_IM01;IM01;Accueil;1331.25;3507.38;771.97;5610.6
D_IM01;IM01;Local poubelle;1181.25;2338.25;514.65;4034.15
D_IM01;IM01;Salle de sport;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Local technique;1256.25;2922.81;643.31;4822.37
D_IM01;IM01;Bureau gardien;1256.25;2922.81;643.31;4822.37
D_IM01;IM01;Hall;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart1;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart2;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart3;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart4;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart1;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart2;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart3;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart4;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart1;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart2;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart3;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart4;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart1;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart2;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart3;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Appart4;1631.25;5845.62;1286.62;8763.49
D_IM01;IM01;Salon;711.38;1243.75;273.75;2228.88
D_IM01;IM01;Cuisine;585.0;746.25;164.25;1495.5
D_IM01;IM01;Chambre;866.25;1679.06;369.56;2914.87
D_IM01;IM01;Salle d'eau;487.5;497.5;109.5;1094.5
D_IM01;IM01;Entrée;843.75;1088.28;239.53;2171.56
