idPiece;idProjet;idEtage;nomPiece;vue;xPlan;yPlan;largeurPlan;hauteurPlan;largeurMetres;longueurMetres;hauteurMetres;surfaceSol;surfaceMurs;surfacePlafond;idRevetementMur;idRevetementSol;idRevetementPlafond;devisMurs;devisSol;devisPlafond;devisTotal;nbFenetre;nbPorte;nbTremie;largeurTremie;longueurTremie
M01_RDC_Entre;M01;M01_RDC;Entrée;RDC;0.0;0.0;3.0;3.0;3.0;3.0;3.0;9.0;34.11;9.0;1;2;1;426.38;447.75;98.55;972.68;0;1;0;0.0;0.0
M01_RDC_Cuisine;M01;M01_RDC;Cuisine;RDC;3.0;0.0;3.5;3.0;3.5;3.0;3.0;10.5;35.91;10.5;1;13;1;448.87;522.38;114.97;1086.22;1;1;0;0.0;0.0
M01_RDC_Salon;M01;M01_RDC;Salon;RDC;6.5;0.0;3.5;6.0;3.5;6.0;3.0;21.0;52.71;21.0;1;10;1;658.88;1044.75;229.95;1933.58;2;1;0;0.0;0.0
M01_RDC_Sallemanger;M01;M01_RDC;Salle à manger;RDC;0.0;3.0;6.5;4.0;6.5;4.0;3.0;26.0;61.8;26.0;1;13;1;772.5;1293.5;284.7;2350.7;1;0;0;0.0;0.0
M01_RDC_Salledeau;M01;M01_RDC;Salle d'eau;RDC;0.0;7.0;3.0;4.0;3.0;4.0;3.0;12.0;38.91;12.0;1;2;1;486.37;597.0;131.4;1214.77;1;1;0;0.0;0.0
M01_RDC_Cellier;M01;M01_RDC;Cellier;RDC;3.0;7.0;3.5;4.0;3.5;4.0;3.0;14.0;45.0;14.0;1;14;1;562.5;696.5;153.3;1412.3;0;0;0;0.0;0.0
M01_RDC_Escalier;M01;M01_RDC;Escalier;RDC;6.5;6.0;3.5;5.0;3.5;5.0;3.0;17.5;51.0;17.5;1;3;1;637.5;870.62;191.62;1699.74;0;0;0;0.0;0.0
M01_ETAGE1_Chambre1;M01;M01_ETAGE1;Chambre 1;Etage 1;0.0;0.0;5.0;5.5;5.0;5.5;3.0;27.5;59.91;27.5;1;2;1;748.88;1368.12;301.12;2418.12;1;1;0;0.0;0.0
M01_ETAGE1_Chambre2;M01;M01_ETAGE1;Chambre 2;Etage 1;5.0;0.0;5.0;5.5;5.0;5.5;3.0;27.5;59.91;27.5;1;2;1;748.88;1368.12;301.12;2418.12;1;1;0;0.0;0.0
M01_ETAGE1_Salledebain;M01;M01_ETAGE1;Salle de bain;Etage 1;0.0;5.5;3.0;5.5;3.0;5.5;3.0;16.5;47.91;16.5;1;14;1;598.88;820.88;180.67;1600.43;1;1;0;0.0;0.0
M01_ETAGE1_Bureau;M01;M01_ETAGE1;Bureau;Etage 1;3.0;5.5;3.5;5.5;3.5;5.5;3.0;19.25;50.91;19.25;1;13;1;636.38;957.69;210.79;1804.86;1;1;0;0.0;0.0
M01_ETAGE1_Palier;M01;M01_ETAGE1;Palier;Etage 1;6.5;5.5;3.5;5.5;3.5;5.5;3.0;19.25;54.0;19.25;1;3;1;675.0;957.69;210.79;1843.48;0;0;0;0.0;0.0
IM01_RDC_Escalier;IM01;IM01_RDC;Escalier;RDC;0.0;11.75;2.0;1.5;2.0;1.5;3.0;3.0;21.0;3.0;1;3;1;262.5;149.25;32.85;444.6;0;0;0;0.0;0.0
IM01_ETAGE1_Escalier;IM01;IM01_ETAGE1;Escalier;Etage 1;0.0;11.75;2.0;1.5;2.0;1.5;3.0;3.0;21.0;3.0;1;3;1;262.5;149.25;32.85;444.6;0;0;0;0.0;0.0
IM01_ETAGE2_Escalier;IM01;IM01_ETAGE2;Escalier;Etage 2;0.0;11.75;2.0;1.5;2.0;1.5;3.0;3.0;21.0;3.0;1;3;1;262.5;149.25;32.85;444.6;0;0;0;0.0;0.0
IM01_ETAGE3_Escalier;IM01;IM01_ETAGE3;Escalier;Etage 3;0.0;11.75;2.0;1.5;2.0;1.5;3.0;3.0;21.0;3.0;1;3;1;262.5;149.25;32.85;444.6;0;0;0;0.0;0.0
IM01_ETAGE4_Escalier;IM01;IM01_ETAGE4;Escalier;Etage 4;0.0;11.75;2.0;1.5;2.0;1.5;3.0;3.0;21.0;3.0;1;3;1;262.5;149.25;32.85;444.6;0;0;0;0.0;0.0
IM01_RDC_Accueil;IM01;IM01_RDC;Accueil;RDC;0.0;0.0;6.0;11.75;6.0;11.75;3.0;70.5;106.5;70.5;1;2;1;1331.25;3507.38;771.97;5610.6;0;0;0;0.0;0.0
IM01_RDC_Localpoubelle;IM01;IM01_RDC;Local poubelle;RDC;6.0;0.0;4.0;11.75;4.0;11.75;3.0;47.0;94.5;47.0;1;14;1;1181.25;2338.25;514.65;4034.15;0;0;0;0.0;0.0
